AFRICANO,ALEMAN,ANDINO,ARABE,ARMENIO,BELGA,BRITÁNICO,CHINO,COREANO,ESCANDINAVO,ESPAÑOL,ESTE EUROPEO,FRANCES,GERMANICO,GRIEGO,HEBREO,HINDU,HOLANDES,IBERICO,ITALIANO,JAPONES,JUJUY,NOA,PORTUGUES,SUIZOS,SUR,TAILANDIA,TIERRAS BAJAS,VASCO,departamento_id,departamento_nombre,provincia_nombre
0,333,140,650,33,4,327,1,1,51,38491,173,575,173,28,50,22,19,304,11350,20,23,200,195,4,99,41,4,6077,050021,GODOY CRUZ,Mendoza
5,549,727,744,1,8,226,4,1,27,50077,233,1098,143,26,38,23,35,467,12138,25,111,283,238,3,170,23,8,10291,050028,GUAYMALLEN,Mendoza
50,25,96,61,0,0,19,0,0,1,12930,6,159,6,10,0,1,1,32,767,0,18,114,27,9,46,24,6,1986,050056,LAVALLE,Mendoza
36,241,253,372,0,27,145,1,45,24,37386,95,600,120,9,18,20,10,179,5790,25,48,255,207,42,182,0,6,7543,050049,LAS HERAS,Mendoza
4,15,76,112,0,25,35,36,0,3,9219,7,64,4,0,1,2,44,13,865,2,6,42,18,0,8,45,14,1978,050091,SAN CARLOS,Mendoza
0,16,136,86,0,4,24,1,0,1,11253,12,136,17,4,2,4,1,57,1378,2,17,39,25,14,15,0,7,2686,050035,JUNIN,Mendoza
0,285,266,500,40,0,171,0,32,17,49938,110,557,128,3,20,28,2,456,5508,65,26,53,91,2,203,0,4,9916,050105,SAN RAFAEL,Mendoza
0,2,2,58,0,0,3,0,0,0,4147,1,19,11,0,16,0,0,39,139,1,18,20,2,0,14,33,45,770,050042,LA PAZ,Mendoza
40,66,266,358,22,16,66,2,0,5,28176,92,317,32,9,8,9,4,146,5757,7,18,192,100,1,87,0,1,5653,050098,SAN MARTIN,Mendoza
44,46,154,139,5,3,41,0,21,4,11447,14,134,23,2,1,5,1,91,760,6,21,35,35,0,6,4,1,3497,050119,TUNUYAN,Mendoza
13,2816,7,329,0,1,318,7,17,54,23692,84,923,999,8,9,0,17,159,8079,11,9,15,207,2,4,0,3,4916,030056,GUALEGUAYCHU,Entre Rios
28,422,0,16,0,1,86,0,0,19,4870,27,490,77,0,2,10,21,69,413,6,0,10,18,11,25,0,1,772,030088,SAN SALVADOR,Entre Rios
37,889,7,28,33,0,38,0,0,10,5991,27,160,192,43,17,0,2,56,1711,41,1,1,31,1,2,0,1,1289,030091,TALA,Entre Rios
50,690,3,18,33,25,49,0,0,20,6341,33,157,103,36,2,1,12,87,695,0,0,4,58,0,0,3,39,1385,030035,FEDERAL,Entre Rios
26,333,7,39,2,1,256,7,3,20,11984,66,220,235,0,3,5,16,40,4271,3,5,10,254,2,35,44,33,2406,030028,FEDERACION,Entre Rios
23,1645,5,49,46,0,84,0,39,12,7215,14,411,235,2,24,4,12,135,2180,3,2,1,15,0,21,0,0,1675,030077,NOGOYA,Entre Rios
23,748,8,118,2,25,274,2,38,59,14998,55,3745,161,1,5,2,59,258,2047,34,2,7,167,3,7,0,23,2125,030008,COLON,Entre Rios
0,512,11,232,2,46,124,2,5,4,12649,52,168,179,14,11,2,8,51,2494,4,0,3,25,0,2,9,1,2019,030049,GUALEGUAY,Entre Rios
50,4757,26,138,1,50,258,2,0,34,5588,81,168,747,0,11,35,51,31,1518,2,1,10,35,23,3,0,1,1651,030021,DIAMANTE,Entre Rios
43,1819,11,243,0,1,352,1,0,27,18203,228,1993,462,0,46,9,36,224,3519,3,2,25,329,3,2,29,1,4444,030098,URUGUAY,Entre Rios
0,69,4,9,40,17,48,16,50,6,3973,1,43,16,0,1,0,1,10,290,18,0,5,45,0,0,0,2,967,030042,FELICIANO,Entre Rios
0,157,1,18,0,22,14,49,0,21,3041,23,40,35,1,5,2,1,7,573,4,0,0,33,0,1,0,23,566,030063,ISLAS DEL IBICUY,Entre Rios
0,1469,6,99,0,7,143,0,23,14,16114,65,302,281,0,56,4,30,109,2634,1,2,1,153,1,1,0,0,2825,030070,LA PAZ,Entre Rios
0,351,8,90,0,1,66,0,46,5,10301,16,188,66,2,2,22,3,42,1969,5,44,14,20,0,4,39,6,1975,030105,VICTORIA,Entre Rios
0,2372,15,223,0,15,358,3,2,30,33499,195,1121,404,3,18,2,14,212,8783,19,0,22,550,6,8,0,88,6742,030015,CONCORDIA,Entre Rios
31,930,5,50,39,50,127,2,27,177,14874,42,536,266,7,17,9,9,59,1104,4,0,40,76,0,2,0,1,2460,030113,VILLAGUAY,Entre Rios
2,107,1719,217,2,1,107,25,1,8,24907,79,199,3,6,1,42,0,4,995,12,491,327,20,3,11,0,177,4792,038063,SAN PEDRO,Jujuy
0,1,276,1,0,0,0,0,41,0,620,15,84,34,0,12,0,28,0,3,0,30,15,2,4,50,0,21,202,038105,VALLE GRANDE,Jujuy
1,11,1363,12,0,6,2,48,30,0,2376,4,13,1,0,1,1,0,2,54,29,427,53,0,0,33,0,1,488,038094,TILCARA,Jujuy
0,3,492,0,25,24,4,20,21,0,881,15,34,0,10,0,31,0,43,43,20,13,55,0,0,47,0,0,64,038077,SANTA CATALINA,Jujuy
0,32,184,20,0,0,31,48,0,0,410,50,0,28,44,8,0,44,0,0,0,33,129,0,0,27,0,41,42,038049,RINCONADA,Jujuy
0,62,3884,129,4,19,23,19,30,10,19218,64,243,1,2,1,19,2,5,1035,32,1016,395,62,2,3,0,38,3737,038014,EL CARMEN,Jujuy
2,47,572,4,29,15,1,46,0,20,1010,16,3,1,4,1,0,38,0,12,0,346,13,1,0,1,0,0,192,038098,TUMBAYA,Jujuy
7,1,939,1,0,0,1,0,23,1,2639,0,2,0,0,0,0,0,1,6,0,1247,165,2,29,17,0,0,418,038007,COCHINOCA,Jujuy
46,87,2251,132,0,2,68,1,0,7,26338,52,234,4,5,2,49,3,8,850,13,374,445,59,1,6,12,198,4025,038035,LEDESMA,Jujuy
0,1,268,4,0,0,10,12,50,1,1498,3,6,1,3,0,6,0,0,25,45,113,14,39,0,5,0,9,216,038056,SAN ANTONIO,Jujuy
43,1,189,33,36,1,20,15,0,0,1097,26,6,0,27,0,0,0,0,1,0,175,109,0,0,5,38,0,98,038084,SUSQUES,Jujuy
0,20,2079,11,6,47,12,3,0,0,5026,18,34,15,0,0,1,0,1,55,0,477,82,4,25,1,0,3,910,038112,YAVI,Jujuy
48,6,435,24,0,0,15,0,46,23,5441,4,50,1,23,0,8,17,0,117,1,140,59,4,4,1,0,47,680,038070,SANTA BARBARA,Jujuy
1,8,1921,13,1,26,1,12,42,1,4418,1,31,0,4,0,13,0,1,31,2,350,49,3,11,0,31,1,584,038028,HUMAHUACA,Jujuy
5,447,9058,1127,6,5,276,2,2,54,56800,343,1089,8,21,8,55,16,16,2954,24,4682,657,154,1,44,0,61,13378,038021,DR.MANUEL BELGRANO,Jujuy
0,76,2990,84,1,0,21,18,41,8,13445,40,160,15,1,0,8,11,1,495,1,719,252,32,0,3,25,6,2456,038042,PALPALA,Jujuy
28,448,6,40,0,17,113,2,42,37,6522,144,89,649,0,1,1,3,267,513,11,5,1,1180,0,1,0,1,1060,054049,GRAL.MANUEL BELGRANO,Misiones
39,414,2,44,43,0,81,0,0,19,3271,82,42,286,0,12,1,2,100,180,5,1,2,490,48,5,0,1,530,054112,SAN PEDRO,Misiones
40,159,2,24,0,0,32,0,0,6,4396,85,51,157,0,1,0,3,138,211,1,3,9,587,22,7,0,4,465,054105,SAN JAVIER,Misiones
35,1102,31,18,41,16,113,0,16,22,3704,106,22,984,0,13,1,22,188,449,3,35,45,522,0,1,0,0,387,054119,25 DE MAYO,Misiones
0,2094,40,323,12,1,627,11,3,235,74785,978,1015,1282,32,59,34,28,692,6529,90,13,33,2377,11,36,39,54,14272,054028,CAPITAL,Misiones
14,1585,10,153,35,13,252,0,22,279,16889,712,189,1244,2,31,4,44,260,1255,31,1,5,2158,2,13,0,6,2696,054091,OBERA,Misiones
0,676,17,88,0,44,147,6,0,37,13590,207,139,552,1,5,3,10,138,1188,11,2,5,1062,5,4,0,15,4599,054063,IGUAZU,Misiones
23,723,2,43,28,29,107,1,0,69,18729,153,117,692,0,15,39,36,206,869,28,3,2,634,3,1,0,5,3512,054042,ELDORADO,Misiones
0,242,2,25,29,0,52,2,0,20,6425,71,55,126,0,1,2,2,49,396,15,0,2,379,44,1,0,0,1362,054021,CANDELARIA,Misiones
7,837,4,51,46,38,123,1,0,69,7791,546,108,703,24,6,1,4,240,492,3,3,1,697,1,9,0,8,842,054070,L.N.ALEM,Misiones
0,34,1,30,0,45,16,2,0,1,1634,91,27,10,0,1,28,0,44,91,4,0,0,147,0,6,38,3,298,054035,C.DE LA SIERRA,Misiones
0,886,3,82,0,45,104,33,1,63,9050,477,112,869,0,14,0,18,189,515,18,0,6,835,1,2,14,4,975,054014,CAINGUAS,Misiones
0,518,1,12,2,0,73,0,30,15,8670,31,73,396,13,10,1,3,129,322,3,8,4,173,0,0,44,4,1713,054084,MONTECARLO,Misiones
0,130,2,92,1,0,51,2,0,14,7871,559,47,86,0,3,2,9,139,419,3,1,1,802,0,44,39,1,1012,054007,APOSTOLES,Misiones
44,1977,2,66,0,17,50,1,0,37,6067,108,50,1314,0,19,3,6,90,416,32,1,4,400,11,1,32,0,1725,054077,L.G.SAN MARTIN,Misiones
0,580,6,59,0,0,101,0,0,20,12136,318,110,399,1,33,1,4,111,628,64,6,3,641,1,6,39,2,3015,054098,SAN IGNACIO,Misiones
7,1431,1,85,18,35,238,0,0,79,11295,363,92,983,2,38,0,20,361,543,13,0,2,2202,0,1,0,2,918,054056,GUARANI,Misiones
25,26,4,3,0,0,45,0,0,5,6113,18,70,8,1,15,0,1,7,230,1,1,1,72,0,0,0,3,2095,034042,PILAGAS,Formosa
24,75,13,37,0,25,225,4,0,33,19015,29,208,50,12,1,5,3,60,1314,2,5,6,419,1,1,15,31,5114,034049,PILCOMAYO,Formosa
4,24,30,11,1,4,4,0,0,1,3758,7,49,3,1,0,1,26,4,98,1,20,17,7,30,26,24,9,1058,034028,MATACOS,Formosa
0,3,13,21,17,0,20,43,21,15,3169,0,11,3,3,0,4,0,22,60,2,6,1,11,0,0,32,3,614,034063,RAMON LISTA,Formosa
22,58,13,10,0,0,41,1,28,2,6529,2,83,11,1,2,2,1,14,268,1,2,2,66,27,46,0,1,1641,034021,LAISHI,Formosa
0,15,14,13,0,9,9,0,30,8,3928,3,34,1,0,23,1,0,15,46,2,4,11,8,33,0,20,15,625,034007,BERMEJO,Formosa
1,72,103,87,41,0,64,17,0,2,27701,108,240,32,7,2,5,17,56,568,2,6,49,163,0,0,0,40,4365,034035,PATIÑO,Formosa
20,192,33,48,50,11,120,4,0,2,20709,115,211,169,2,1,21,22,70,1150,4,1,9,249,0,35,41,5,4341,034056,PIRANE,Formosa
0,470,69,144,0,1,530,4,2,23,49277,180,1067,191,10,13,57,18,291,3315,9,11,69,692,3,5,10,80,20585,034014,FORMOSA,Formosa
0,17,21,6,50,0,9,0,14,0,768,9,9,10,2,4,0,1,1,107,1,9,5,9,27,3,38,27,183,078049,RIO CHICO,Santa Cruz
0,30,34,14,1,3,26,41,9,3,1859,10,32,28,1,40,1,0,20,245,1,8,14,24,6,30,0,1,463,078035,LAGO BS AS,Santa Cruz
0,47,27,18,0,1,59,46,1,2,2084,10,30,45,28,1,10,0,31,333,0,13,14,10,18,12,0,4,500,078042,MAGALLANES,Santa Cruz
23,71,74,26,0,0,27,34,0,17,3145,15,82,15,0,1,1,5,25,266,3,23,7,25,0,16,30,13,642,078007,CORPEN AIKE,Santa Cruz
0,241,488,158,1,1,216,2,16,15,27681,114,346,128,9,15,9,3,203,1836,8,174,427,172,6,267,0,10,5750,078014,DESEADO,Santa Cruz
0,344,729,173,0,4,306,1,0,48,21434,164,268,168,9,17,4,6,114,2195,5,257,216,189,1,160,31,7,6139,078021,GUER AIKE,Santa Cruz
1,90,119,38,1,22,67,42,0,7,3685,21,110,51,2,3,3,1,51,946,4,31,41,42,3,19,0,1,692,078028,LAGO ARGENTINO,Santa Cruz
0,1,0,1,0,0,1,0,0,1,2175,1,2,40,10,0,0,0,6,27,27,37,1,66,22,48,6,1,320,074063,San Martin,San Luis
0,24,3,17,0,13,13,0,0,3,2885,5,22,2,48,2,0,38,14,369,1,9,1,36,0,4,31,1,614,074021,Pringles,San Luis
0,22,4,28,28,13,6,33,0,1,4799,10,37,6,1,43,2,3,19,311,1,50,0,23,1,3,0,0,563,074042,Dupuy,San Luis
9,10,8,55,0,1,4,0,48,1,6671,6,37,4,1,50,48,2,8,382,41,33,14,38,0,10,27,1,1448,074007,Ayacucho,San Luis
12,325,88,169,0,2,167,38,1,8,32197,77,278,91,5,6,8,20,116,4538,6,13,72,173,7,22,46,1,7763,074035,Pedernera,San Luis
48,69,6,42,9,24,6,13,40,26,4636,20,84,17,0,1,1,0,14,714,2,20,9,46,25,1,0,1,1298,074028,Chacabuco,San Luis
0,3,4,3,0,41,3,0,50,0,1341,2,6,3,0,0,0,0,2,48,10,0,2,8,43,3,32,0,214,074014,Belgrano,San Luis
50,124,5,46,1,0,36,1,10,6,9517,19,78,27,5,2,4,5,50,952,2,1,15,74,0,8,18,1,1971,074049,Junin,San Luis
3,249,128,385,13,2,179,4,1,16,50887,92,460,114,8,14,9,3,308,6338,7,23,139,400,4,59,22,1,9924,074056,Pueyrredon,San Luis
0,280,474,124,0,3,147,5,2,32,13703,90,269,161,3,10,9,9,114,3535,18,91,99,122,1,28,8,10,3241,094015,USHUAIA,Tierra del Fuego
43,2,1,1,0,35,0,50,0,8,28,0,1,1,0,41,34,26,0,5,8,30,27,39,0,0,9,11,8,094028,ANTARTIDA,Tierra del Fuego
1,273,407,156,1,1,114,2,1,24,14049,154,270,159,3,15,5,5,160,2177,17,125,140,169,1,63,49,10,5002,094008,RIO GRANDE,Tierra del Fuego
0,29,146,292,1,34,21,1,27,0,10896,9,60,1,0,2,19,1,0,523,1,34,63,30,1,3,33,5,2163,090028,FAMAILLA,Tucumán
0,272,223,699,1,41,241,3,23,48,25536,207,445,17,32,33,10,32,22,2915,16,62,179,64,12,25,0,48,3596,090119,YERBA BUENA,Tucumán
50,13,558,37,0,0,4,4,0,5,4628,9,42,1,3,1,3,1,0,283,8,59,180,1,38,1,0,1,723,090112,TRANCAS,Tucumán
0,6,1077,19,19,3,6,25,35,1,3269,8,18,2,3,1,1,2,1,81,20,70,115,15,45,8,23,0,632,090098,TAFI DEL VALLE,Tucumán
4,2215,1517,5612,42,18,1029,39,2,268,141278,1242,2963,98,167,198,162,139,147,14141,74,278,879,502,4,49,43,93,28449,090084,CAPITAL,Tucumán
0,116,183,592,6,34,91,1,21,14,19284,88,254,3,5,1,14,46,10,1257,6,38,196,10,7,15,0,8,4928,090021,CHICLIGASTA,Tucumán
0,58,87,537,0,6,23,45,47,14,18192,51,79,3,13,1,33,5,6,763,11,32,235,14,1,29,0,3,3317,090077,RIO CHICO,Tucumán
1,58,224,428,1,2,53,1,0,7,16088,55,98,2,5,18,12,6,10,1298,2,73,119,47,2,11,0,6,2617,090063,LULES,Tucumán
16,4,7,11,15,0,3,8,0,1,5118,5,18,2,0,0,5,37,5,92,4,2,19,2,0,1,10,2,596,090035,GRANEROS,Tucumán
23,63,135,602,1,0,186,4,0,18,19044,31,127,10,2,2,1,14,14,620,2,19,184,26,1,12,0,4,3528,090070,MONTEROS,Tucumán
0,22,60,236,1,1,98,35,0,8,22633,63,100,3,1,1,3,4,3,289,4,51,26,32,0,1,12,5,3779,090056,LEALES,Tucumán
0,91,58,267,31,0,82,4,0,3,12132,55,62,3,0,30,6,45,1,220,7,10,111,17,0,1,9,11,2103,090007,BURRUYACU,Tucumán
14,222,471,559,4,2,129,6,32,27,29838,185,348,7,15,10,18,38,9,2762,13,200,322,56,1,10,0,28,4779,090105,TAFI VIEJO,Tucumán
0,28,44,57,22,27,15,0,20,5,5380,25,21,2,0,0,4,36,1,163,0,3,17,7,1,1,15,0,1047,090049,LA COCHA,Tucumán
2,195,264,678,41,4,133,35,1,15,48011,145,327,31,2,6,27,18,25,1577,7,65,292,109,46,6,8,55,9200,090014,CRUZ ALTA,Tucumán
0,15,10,102,23,2,9,0,0,6,10419,11,49,7,39,0,11,25,25,187,2,4,19,15,23,49,0,0,1742,090091,SIMOCA,Tucumán
21,49,38,210,0,0,25,29,0,5,7716,28,142,14,0,9,5,3,6,367,5,33,112,13,18,6,0,3,2169,090042,ALBERDI,Tucumán
0,1300,164,825,0,7,476,4,1,124,92652,176,896,384,18,40,15,26,690,9751,87,47,132,420,5,1236,20,8,12166,062042,GENERAL ROCA,Rio Negro
14,1,0,16,0,0,11,0,45,2,664,0,14,1,1,0,0,22,10,22,45,30,1,1,0,69,24,11,115,062049,9 DE JULIO,Rio Negro
0,154,121,52,39,12,47,3,2,5,7530,20,126,63,0,1,5,1,88,875,1,21,15,65,12,122,0,1,1869,062014,AVELLANEDA,Rio Negro
45,11,2,19,0,0,31,0,0,41,1049,4,46,5,28,1,2,6,4,109,40,26,9,5,0,122,0,0,204,062084,VALCHETA,Rio Negro
1,798,120,221,1,17,414,2,0,92,28286,286,389,617,10,55,11,20,312,5405,28,24,38,147,2,804,9,3,6069,062021,BARILOCHE,Rio Negro
35,36,2,10,3,1,12,1,0,11,1218,4,37,23,0,1,0,0,18,203,1,0,3,4,0,95,0,1,199,062070,PILCANIYEU,Rio Negro
0,450,69,108,1,17,149,1,0,58,11536,100,220,199,1,12,29,22,192,2536,6,16,40,87,2,480,0,2,2836,062007,ADOLFO ALSINA,Rio Negro
0,2,4,4,0,38,1,24,15,47,315,3,32,6,41,0,20,0,10,11,0,0,0,4,25,32,0,0,46,062056,ÑORQUINCO,Rio Negro
0,115,65,82,0,0,97,0,42,13,5795,47,69,70,6,3,1,3,73,755,4,21,22,36,0,189,0,3,1290,062077,SAN ANTONIO,Rio Negro
0,3,7,16,0,2,8,0,44,0,648,3,13,1,0,0,12,0,7,44,3,35,49,9,26,71,0,0,169,062035,EL CUY,Rio Negro
0,12,11,44,0,0,17,0,0,2,2542,8,83,9,21,23,1,0,24,220,0,2,1,4,0,207,4,3,572,062091,25 DE MAYO,Rio Negro
0,132,8,15,19,30,25,33,45,11,3826,13,45,80,3,2,2,1,56,528,0,3,6,22,0,25,0,24,742,062063,PICHI MAHUIDA,Rio Negro
0,51,14,12,39,0,42,40,10,1,1066,6,13,20,1,3,1,2,31,220,1,1,2,4,0,19,0,46,334,062028,CONESA,Rio Negro
0,0,1,15,0,45,3,0,0,0,1303,1,16,1,0,43,2,36,4,35,0,0,35,1,0,21,0,0,226,070112,Ullum,San Juan
2,166,32,344,4,29,170,4,2,36,22007,58,280,97,5,17,25,10,132,4119,19,9,152,115,1,104,40,1,4789,070028,Capital,San Juan
22,12,45,40,0,1,24,1,1,0,9083,4,140,4,1,0,11,31,49,392,1,6,135,34,0,85,0,0,2723,070070,Pocito,San Juan
0,3,3,8,18,0,1,2,18,15,2343,2,25,4,0,30,38,25,26,80,1,1,14,5,38,14,0,0,407,070021,Calingasta,San Juan
0,0,0,8,35,2,1,39,0,36,1567,1,23,1,0,27,7,50,7,21,0,0,10,1,17,12,13,4,211,070133,Zonda,San Juan
0,61,56,188,31,4,63,2,26,1,29039,42,258,33,11,2,58,2,78,1862,4,13,533,100,0,101,25,0,5872,070077,Rawson,San Juan
47,5,10,20,0,2,4,0,0,0,7493,15,45,32,6,0,38,0,9,97,0,2,71,33,13,11,0,9,783,070007,Albardón,San Juan
6,14,4,19,0,10,18,2,0,21,6169,6,23,1,0,1,7,34,11,129,0,5,56,6,0,29,5,0,1033,070105,Sarmiento,San Juan
42,2,18,4,0,0,1,3,11,3,1841,1,15,1,9,41,2,0,2,39,35,0,6,1,27,25,0,0,289,070049,Iglesia,San Juan
0,1,5,36,0,0,11,47,0,4,2151,4,22,2,1,0,7,0,6,46,19,1,21,5,45,17,0,1,637,070063,9 de Julio,San Juan
8,2,1,6,11,0,2,1,0,48,4042,0,17,1,1,2,1,24,2,41,19,0,105,1,44,48,10,22,1106,070126,25 de Mayo,San Juan
34,5,43,19,0,0,8,0,17,2,5153,17,78,1,1,14,37,0,7,154,31,4,203,22,17,11,36,0,1114,070056,Jachal,San Juan
21,1,1,25,0,37,9,40,36,1,3055,2,26,1,0,0,3,20,21,136,0,0,48,1,36,9,0,1,697,070091,San Martín,San Juan
27,4,38,32,0,0,3,2,13,0,2440,1,11,25,1,0,5,25,8,69,31,2,22,14,17,10,0,0,496,070014,Angaco,San Juan
0,88,55,197,40,11,85,5,1,14,24094,51,184,32,2,1,25,1,70,1493,4,8,173,49,0,62,25,2,3787,070084,Rivadavia,San Juan
0,29,40,62,0,1,55,0,46,2,25324,6,173,11,10,2,38,0,36,560,4,9,400,43,26,88,15,17,2708,070042,Chimbas,San Juan
14,1,1,6,0,0,4,0,0,17,2294,48,2,1,3,41,5,40,1,31,23,36,40,2,45,1,35,15,318,070119,Valle Fértil,San Juan
33,6,11,60,0,13,10,1,18,0,8822,4,118,5,10,27,48,0,22,311,1,46,164,11,0,74,0,22,1742,070035,Caucete,San Juan
0,31,22,95,0,3,24,1,22,3,12940,14,77,28,5,1,17,2,86,695,2,6,117,68,1,31,16,1,2328,070098,Santa Lucia,San Juan
1,597,663,761,22,6,352,21,7,50,53064,272,648,251,42,82,27,30,617,16178,98,241,270,665,4,24,6,29,10562,002028,COMUNA N° 4,Capital Federal
3,1032,467,692,18,3,454,107,162,106,43594,458,766,516,29,424,29,30,598,17867,151,114,148,578,5,22,0,17,5830,002049,COMUNA N° 7,Capital Federal
0,551,274,430,15,8,321,19,31,49,29908,345,581,254,48,55,23,16,654,15579,141,75,108,423,2,16,33,4,6771,002063,COMUNA N° 9,Capital Federal
3,3299,255,1109,17,10,1041,128,14,169,38781,786,1121,1238,51,444,31,111,904,18486,194,49,127,526,4,25,0,20,7500,002098,COMUNA N°14,Capital Federal
2,1735,217,701,10,2,1023,38,6,207,31650,519,1169,879,23,260,13,57,751,13842,100,40,127,361,6,14,37,12,6893,002014,COMUNA N° 2,Capital Federal
1,1362,418,524,8,6,553,124,38,78,32144,591,678,500,40,213,28,42,697,17305,267,156,148,475,4,31,0,16,5365,002035,COMUNA N° 5,Capital Federal
5,1832,134,792,12,4,506,96,19,75,31462,547,936,468,46,192,26,40,714,20247,203,46,131,415,1,14,0,13,5513,002077,COMUNA N°11,Capital Federal
7,2890,170,1171,31,8,1072,189,14,206,26795,1153,943,1388,34,489,31,86,1042,22326,300,48,119,459,3,31,39,16,7917,002091,COMUNA N°13,Capital Federal
3,975,177,832,18,4,463,65,59,69,27835,320,638,343,37,172,21,27,515,14258,173,30,88,447,4,21,0,13,4734,002070,COMUNA N°10,Capital Federal
1,2285,199,840,19,9,604,96,13,61,39678,861,704,860,43,346,24,67,522,14463,153,55,173,386,1,26,6,8,4792,002105,COMUNA N°15,Capital Federal
3,1550,112,593,25,4,585,109,11,80,25116,450,574,739,50,157,23,40,1112,19423,152,45,119,516,2,18,0,11,4847,002084,COMUNA N°12,Capital Federal
2,1641,636,694,10,6,533,144,49,75,39006,494,1010,596,35,354,23,43,664,15064,153,208,283,290,7,20,32,18,8794,002021,COMUNA N° 3,Capital Federal
1,536,398,378,8,3,353,9,8,17,33263,235,563,214,33,25,24,13,391,8847,49,89,182,374,0,33,0,28,8964,002056,COMUNA N° 8,Capital Federal
26,1186,614,508,11,3,777,89,15,128,52990,462,1222,560,30,137,20,28,690,15181,156,229,224,578,5,26,0,23,8448,002007,COMUNA N° 1,Capital Federal
0,1039,219,542,18,4,607,90,38,54,33318,601,904,456,30,154,30,50,553,12664,164,46,83,479,1,20,0,14,5909,002042,COMUNA N° 6,Capital Federal
45,15,2,45,21,11,71,0,0,3,3289,5,72,21,2,1,1,2,46,1082,1,2,0,34,0,95,0,19,834,006385,GENERAL VIAMONTE,Buenos Aires
22,78,1,26,0,44,47,3,18,5,1950,7,81,60,2,4,9,0,51,810,2,1,1,50,36,9,0,1,516,006343,GENERAL PAZ,Buenos Aires
0,39,3,48,38,0,46,13,0,2,3773,9,66,34,0,2,2,0,33,928,3,1,6,25,1,4,50,0,671,006329,LAS HERAS,Buenos Aires
15,100,1,25,0,9,26,41,0,37,1539,7,46,51,44,10,2,1,17,602,0,1,1,6,12,3,0,1,352,006553,MONTE HERMOSO,Buenos Aires
42,13,0,6,4,31,40,0,8,1,995,1,36,17,2,0,0,2,15,389,16,1,28,3,38,0,0,0,321,006466,LEZAMA,Buenos Aires
0,132,1,41,11,0,76,0,1,17,5164,33,98,46,0,1,4,41,88,2809,16,1,16,19,2,0,0,1,893,006707,SALADILLO,Buenos Aires
1,86,9,55,34,44,50,42,36,13,4261,1,48,27,1,0,1,4,52,1275,2,1,4,61,1,1,5,1,761,006574,NAVARRO,Buenos Aires
0,109,6,26,21,0,79,1,0,5,5181,34,76,37,34,2,0,8,79,1851,2,1,8,34,22,3,15,0,1622,006518,MAR CHIQUITA,Buenos Aires
0,62,22,99,3,0,63,3,46,7,7327,23,170,32,1,1,4,2,206,2857,6,0,16,103,0,72,50,1,1619,006112,BRAGADO,Buenos Aires
0,454,53,137,40,1,147,6,0,19,20206,179,388,182,6,4,4,17,139,5324,17,20,27,179,2,9,0,3,4078,006126,CAMPANA,Buenos Aires
0,4601,186,583,1,12,552,3,3,202,42259,412,1082,1588,17,137,35,25,910,12619,30,35,112,342,1,313,0,6,11170,006056,BAHIA BLANCA,Buenos Aires
0,271,17,71,3,34,64,0,29,127,3887,4,62,123,0,2,13,1,73,1188,15,1,4,19,0,12,22,0,829,006189,CORONEL DORREGO,Buenos Aires
0,176,170,62,1,1,95,21,48,16,18873,87,194,63,2,6,9,6,153,1582,35,35,73,197,1,3,0,4,3516,006648,PRESIDENTE PERON,Buenos Aires
0,52,4,26,1,7,97,0,0,1,3678,18,96,20,0,0,1,0,45,1164,1,2,1,17,0,37,26,1,623,006161,CARMEN DE ARECO,Buenos Aires
1,657,463,412,6,3,574,5,1,41,62541,379,537,496,27,35,18,32,493,12114,51,48,224,578,4,37,29,28,14758,006260,ESTEBAN ECHEVERRIA,Buenos Aires
27,2356,902,1438,12,18,1770,40,4,157,152568,921,2357,985,163,169,69,102,2070,53009,270,107,420,1514,2,80,0,78,22601,006441,LA PLATA,Buenos Aires
0,50,1,13,18,1,23,0,0,1,1973,5,43,15,19,3,35,0,24,316,1,13,0,18,31,1,0,29,259,006847,TRES LOMAS,Buenos Aires
0,569,101,241,2,1,376,4,0,75,38121,231,411,260,7,24,25,17,279,8020,26,31,154,406,1,12,0,2,8012,006749,SAN FERNANDO,Buenos Aires
0,198,61,161,39,1,105,0,0,35,13122,54,181,90,10,1,2,6,160,2614,12,9,26,133,0,28,0,4,3439,006778,SAN VICENTE,Buenos Aires
0,40,11,21,0,0,69,3,42,0,3243,16,154,19,8,0,2,1,38,1060,1,46,2,46,31,0,0,12,781,006462,LEANDRO N. ALEM,Buenos Aires
17,77,4,95,0,0,126,0,26,3,8397,29,141,53,7,1,54,4,167,5458,4,4,13,146,1,7,42,3,1546,006210,CHACABUCO,Buenos Aires
0,101,8,25,2,13,49,0,1,2,2713,61,89,58,16,1,0,0,12,890,20,4,1,19,7,28,48,7,654,006140,CAPITAN SARMIENTO,Buenos Aires
47,77,6,29,18,29,61,0,22,1,4481,16,102,24,0,0,0,1,50,2137,3,2,1,27,0,44,34,0,786,006728,SAN ANDRES DE GILES,Buenos Aires
0,71,6,31,0,0,79,2,0,8,6553,16,158,27,3,1,3,1,80,1766,8,0,1,19,11,3,18,5,1427,006392,GENERAL VILLEGAS,Buenos Aires
0,253,70,115,0,1,95,1,39,10,18054,77,298,141,1,15,11,6,138,3330,13,8,46,189,2,7,35,2,3304,006364,GENERAL RODRIGUEZ,Buenos Aires
